,,,Salary,Salary,Salary,Salary,Salary,Salary,,
73,Joe Harris\harrijo01,BRK,$17357143,$18642857,$19928571,,,,Bird,$55928571
74,Spencer Dinwiddie\dinwisp01,DAL,$17142857,$18000000,$18857143,,,,Sign and Trade,$45142857
75,Clint Capela\capelca01,ATL,$17103448,$18206897,$20616000,$22265280,,,Bird Rights,$78191625
76,Steven Adams\adamsst01,MEM,$17073171,$17926829,,,,,1st Round Pick,$35000000
77,Markelle Fultz\fultzma01,ORL,$16500000,$16500000,$17000000,,,,Bird,$35000000
78,Aaron Gordon\gordoaa01,DEN,$16409091,$19690909,$21266182,$22841455,$22841455,,Bird Rights,$80207637
79,OG Anunoby\anunoog01,TOR,$16071429,$17357143,$18642857,$19928571,,,Bird,$52071429
80,Dāvis Bertāns\bertada01,DAL,$16000000,$16000000,$17000000,$16000000,,,Bird,$60000000
81,Gary Trent Jr.\trentga02,TOR,$16000000,$17280000,$18560000,,,,Bird,$33280000
82,Lauri Markkanen\markkla01,CLE,$15690909,$16475454,$17259999,$18044544,,,Sign and Trade,$55426362
83,Marcus Morris\morrima03,LAC,$15627907,$16372093,$17116279,,,,Non Bird,$49116279
84,Duncan Robinson\robindu01,MIA,$15560000,$16902000,$18154000,$19406000,$19888000,,Bird,$79910000
85,Norman Powell\powelno01,LAC,$15517242,$16758621,$18000000,$19241379,$20482758,,Bird,$90000000
86,Dejounte Murray\murrade01,SAS,$15428571,$16571429,$17714286,,,,1st Round pick,$49714286
87,Will Barton\bartowi01,DEN,$15384615,$16615385,,,,,Bird,$32000000
88,Derrick White\whitede01,BOS,$15178571,$16392857,$17607143,$18821429,,,Bird,$68000000
89,Taurean Prince\princta02,MIN,$15057692,,,,,,1st Round pick,$15057692
90,Malik Beasley\beaslma01,MIN,$14391964,$15458035,$16524106,,,,Bird,$29849999
91,Marcus Smart\smartma01,BOS,$14339285,$16607142,$18583713,$19960285,$21336856,,Bird Rights,$90827281
92,Patrick Beverley\beverpa01,MIN,$14320988,$13000000,,,,,Bird Rights,$27320988
93,Thaddeus Young\youngth01,TOR,$14190000,,,,,,Cap space,$14190000
94,Jonas Valančiūnas\valanjo01,NOP,$14000000,$14700000,$15435000,,,,Bird Rights,$44135000
95,Joe Ingles\inglejo01,POR,$14000000,,,,,,Bird Rights,$14000000
96,Doug McDermott\mcderdo01,SAS,$13750000,$13750000,$13750000,,,,Sign and Trade,$41250000
97,Christian Wood\woodch01,HOU,$13666667,$14317459,,,,,Sign and Trade,$27984126
98,Derrick Rose\rosede01,NYK,$13445120,$14520730,$15596339,,,,Early Bird,$27965850
99,Brook Lopez\lopezbr01,MIL,$13302325,$13906976,,,,,Cap Space,$27209301
100,Kentavious Caldwell-Pope\caldwke01,WAS,$13038862,$14004703,,,,,Early Bird,$17926980
101,Kyle Kuzma\kuzmaky01,WAS,$13000000,$13000000,$13000000,,,,Bird,$26000000
102,Robert Covington\covinro01,LAC,$12975471,,,,,,Cap Space,$12975471
103,Luke Kennard\kennalu01,LAC,$12727273,$13745455,$14763636,$14763636,,,Bird,$41236364
104,T.J. Warren\warretj01,IND,$12690000,,,,,,1st Round Pick,$12690000
105,Deandre Ayton\aytonde01,PHO,$12632950,,,,,,1st Round Pick,$12632950
106,Terrence Ross\rosste01,ORL,$12500000,$11500000,,,,,Bird Rights,$24000000
107,Jordan Clarkson\clarkjo01,UTA,$12420000,$13340000,$14260000,,,,Bird,$25760000
108,Dillon Brooks\brookdi01,MEM,$12200000,$11400000,,,,,MLE,$23600000
109,Kelly Olynyk\olynyke01,DET,$12195122,$12804878,$12195122,,,,Cap Space,$28000000
110,Kelly Oubre Jr.\oubreke01,CHO,$12000000,$12600000,,,,,Cap Space,$17000000
111,Josh Hart\hartjo01,POR,$12000000,$12960000,$12960000,,,,Bird,$12000000
112,Jusuf Nurkić\nurkiju01,POR,$12000000,,,,,,Bird Rights,$4000000
113,Josh Richardson\richajo01,SAS,$11615328,$12196094,,,,,Minimum Salary,$23811422
114,Marvin Bagley III\baglema01,DET,$11312114,,,,,,1st Round Pick,$11312114
115,Devonte' Graham\grahade01,NOP,$11000000,$11550000,$12100000,$12650000,,,Sign and Trade,$37500000
116,Dwight Powell\poweldw01,DAL,$11000000,$11814815,,,,,Cap Space,$22814815
117,Zion Williamson\willizi01,NOP,$10733400,$13534817,,,,,1st Round Pick,$10733400
118,Larry Nance Jr.\nancela02,NOP,$10690909,$9672727,,,,,1st Round pick,$20363636
119,Jeremy Lamb\lambje01,SAC,$10500000,,,,,,Cap Space,$10500000
120,Richaun Holmes\holmeri01,SAC,$10384500,$11215260,$12046020,$12876780,,,Early Bird,$33645780
121,Reggie Jackson\jacksre01,LAC,$10384500,$11215260,,,,,Early Bird,$21599760
122,Anthony Edwards\edwaran01,MIN,$10245480,$10733400,$13534817,,,,1st Round Pick,$20978880
123,Luka Dončić\doncilu01,DAL,$10174391,$35700000,$38556000,$41412000,$44268000,$47124000,1st Round Pick,$217234391
124,Cade Cunningham\cunnica01,DET,$10050120,$10552800,$11055240,$13940658,,,1st Round Pick,$20602920
125,Tomáš Satoranský\satorto01,SAS,$10468119,,,,,,,$10000000
126,Danny Green\greenda02,PHI,$10000000,$10000000,,,,,Early Bird,$10000000
127,Kyle Anderson\anderky01,MEM,$9937150,,,,,,MLE,$9937150
128,Serge Ibaka\ibakase01,MIL,$9742000,,,,,,MLE,$9742000
129,Jae Crowder\crowdja01,PHO,$9720900,$10183800,,,,,MLE,$19904700
130,Derrick Favors\favorde01,OKC,$9720900,$10183800,,,,,MLE,$9720900
131,Tristan Thompson\thomptr01,IND,$10720900,,,,,,,$9720900
132,Montrezl Harrell\harremo01,CHO,$9720900,,,,,,MLE,$9720900
133,Derrick Jones Jr.\jonesde02,CHI,$9720900,,,,,,MLE,$9720900
134,Ja Morant\moranja01,MEM,$9603360,$12119440,,,,,1st Round Pick,$21722800
135,Reggie Bullock\bullore01,DAL,$9536000,$10012800,$10489600,,,,MLE,$25000000
136,Alec Burks\burksal01,NYK,$9536000,$10012800,$10489600,,,,Cap Space,$19548800
137,Talen Horton-Tucker\hortota01,LAL,$9500000,$10260000,$11020000,,,,Early Bird,$19760000
138,Jaren Jackson Jr.\jacksja02,MEM,$9180560,$23437500,$25312500,$27187500,$29062500,,1st Round Pick,$114180560
139,James Wiseman\wisemja01,GSW,$9166800,$9603360,$12119440,,,,1st Round Pick,$18770160
140,Nicolas Batum\batumni01,CHO,$12213507,$12372008,,,,,,$18086956
141,Dario Šarić\saricda01,PHO,$9000000,$9666667,,,,,Bird,$18666667
142,Jalen Green\greenja05,HOU,$8992200,$9441720,$9891600,$12483199,,,1st Round Pick,$18433920
143,Nerlens Noel\noelne01,NYK,$8800000,$9240000,$9680000,,,,Cap Space,$18040000
144,Jakob Poeltl\poeltja01,SAS,$8750000,$9398148,,,,,Bird,$18148148
145,Maxi Kleber\klebima01,DAL,$8750000,$9000000,,,,,Early Bird Rights,$8750000
146,Thomas Bryant\bryanth01,WAS,$8730159,,,,,,Early Bird Rights,$8730159
147,Kemba Walker\walkeke02,NYK,$8729020,$9165471,,,,,Cap Space,$17894491
148,Royce O'Neale\onealro01,UTA,$8678571,$9321429,$9964286,,,,Cap space,$27964286
149,RJ Barrett\barrerj01,NYK,$8623920,$10900635,,,,,1st Round Pick,$19524555
150,Alex Caruso\carusal01,CHI,$8604651,$9034884,$9465116,$9895349,,,MLE,$37000000
151,Delon Wright\wrighde01,ATL,$8526316,,,,,,Sign and Trade,$8526316
152,De'Anthony Melton\meltode01,MEM,$8437500,$9062500,$9687500,,,,Early Bird,$27187500
153,Daniel Theis\theisda01,BOS,$8372093,$8790698,$9209302,$9627907,,,Sign and Trade,$36000000
154,Monte Morris\morrimo01,DEN,$8333333,$9000000,$9666667,,,,Bird,$27000000
155,Trae Young\youngtr01,ATL,$8326471,$29750000,$32130000,$34510000,$36890000,$39270000,1st Round Pick,$180876471
156,JaMychal Green\greenja01,DEN,$8292683,$8707317,,,,,Non Bird,$17000000
157,LaMelo Ball\ballla01,CHO,$8231760,$8623920,$10900635,,,,1st Round Pick,$16855680
158,Seth Curry\curryse01,BRK,$8186047,$8558140,,,,,MLE,$16744187
159,Mason Plumlee\plumlma01,CHO,$8137500,$8525000,,,,,Cap space,$16662500
160,Evan Mobley\mobleev01,CLE,$8075160,$8478720,$8882760,$11227809,,,1st Round Pick,$16553880
161,Cedi Osman\osmande01,CLE,$8050000,$7350000,$6650000,,,,MLE,$15400000
162,DeAndre Jordan\jordade01,DET,$11109327,$7827907,,,,,,$15703440
163,De'Andre Hunter\huntede01,ATL,$7775400,$9835881,,,,,1st Round Pick,$17611281
164,Mo Bamba\bambamo01,ORL,$7568742,,,,,,1st Round Pick,$7568742
165,Tyus Jones\jonesty01,MEM,$7522200,,,,,,MLE,$7522200
166,Ivica Zubac\zubaciv01,LAC,$7518518,$7518518,,,,,Bird Rights,$7518518
167,T.J. McConnell\mccontj01,IND,$7500000,$8100000,$8700000,$9300000,,,Early Bird,$29300000
168,Patrick Williams\willipa01,CHI,$7422000,$7775400,$9835881,,,,1st Round Pick,$15197400
169,Scottie Barnes\barnesc01,TOR,$7280520,$7644720,$8008560,$10130828,,,1st Round Pick,$14925240
170,Darius Garland\garlada01,CLE,$7040880,$8920795,,,,,1st Round Pick,$15961675
171,Chris Boucher\bouchch01,TOR,$7009615,,,,,,Early Bird,$7009615
172,D.J. Augustin\augusdj01,HOU,$7622467,$333333,,,,,,$7333333
173,P.J. Tucker\tuckepj01,MIA,$7000000,$7350000,,,,,MLE,$7000000
174,Zach Collins\colliza01,SAS,$6984127,$7333333,$7682540,,,,Cap Space,$22000000
175,Wendell Carter Jr.\cartewe01,ORL,$6920027,$14150000,$13050000,$11950000,$10850000,,1st Round Pick,$50000000
176,Isaac Okoro\okorois01,CLE,$6720720,$7040880,$8920795,,,,1st Round Pick,$13761600
177,Jalen Suggs\suggsja01,ORL,$6593040,$6922440,$7252200,$9188537,,,1st Round Pick,$13515480
178,Cameron Payne\payneca01,PHO,$6500000,$6000000,$6500000,,,,Early Bird,$14500000
179,Joakim Noah\noahjo01,NYK,$6431666,,,,,,,$6431666
180,Jarrett Culver\culveja01,MEM,$6395160,$8109063,,,,,1st Round Pick,$6395160
181,Khem Birch\birchkh01,TOR,$6350000,$6667750,$6985000,,,,MLE,$20002750
182,Collin Sexton\sextoco01,CLE,$6349671,,,,,,1st Round Pick,$6349671
183,Juancho Hernangómez\hernaju01,UTA,$6175440,$6632880,,,,,Bird,$6175440
184,Onyeka Okongwu\okongon01,ATL,$6104280,$6395160,$8109063,,,,1st Round Pick,$12499440
185,Justin Holiday\holidju01,SAC,$6006420,$6292440,,,,,Non Bird,$12298860
186,Josh Giddey\giddejo01,OKC,$5988000,$6287400,$6587040,$8352367,,,1st Round Pick,$12275400
187,Rudy Gay\gayru01,UTA,$5890000,$6184500,$6479000,,,,Mini MLE,$12074500
188,Dennis Schröder\schrode01,HOU,$5890000,,,,,,Mini MLE,$5890000
189,Patty Mills\millspa02,BRK,$5890000,$6184500,,,,,Mini MLE,$5890000
190,Kevin Knox\knoxke01,ATL,$5845978,,,,,,1st Round Pick,$5845978
191,Coby White\whiteco01,CHI,$5837760,$7413955,,,,,1st Round Pick,$5837760
192,Timofey Mozgov\mozgoti01,ORL,$5573334,,,,,,,$5573334
193,Killian Hayes\hayeski01,DET,$5572680,$5837760,$7413955,,,,1st Round Pick,$11410440
194,Mikal Bridges\bridgmi01,PHO,$5557725,$20089286,$21696429,$23303571,$24910714,,1st Round Pick,$95557725
195,Shai Gilgeous-Alexander\gilgesh01,OKC,$5495532,$29750000,$32130000,$34510000,$36890000,$39270000,1st Round Pick,$178045532
196,Jonathan Kuminga\kuminjo01,GSW,$5466360,$5739960,$6012720,$7636154,,,1st Round Pick,$11206320
197,Miles Bridges\bridgmi02,CHO,$5421493,,,,,,1st Round Pick,$5421493
198,Jaxson Hayes\hayesja02,NOP,$5348280,$6803012,,,,,1st Round Pick,$12151292
199,Pat Connaughton\connapa01,MIL,$5333333,$5728395,,,,,Early Bird,$5333333
200,Michael Porter Jr.\portemi01,DEN,$5258735,$29750000,$32130000,$34510000,$36890000,$39270000,1st Round Pick,$150538735
201,Ryan Anderson\anderry01,MIA,$5214584,,,,,,,$5214584
202,Hamidou Diallo\diallha01,DET,$5200000,$5200000,,,,,Bird,$5200000
203,Kevon Looney\looneke01,GSW,$5178572,,,,,,Bird Rights,$5178572
204,Troy Brown Jr.\browntr01,CHI,$5170564,,,,,,1st Round Pick,$5170564
205,Obi Toppin\toppiob01,NYK,$5105160,$5348280,$6803012,,,,1st Round Pick,$10453440
206,Franz Wagner\wagnefr01,ORL,$5007840,$5258280,$5508720,$7007092,,,1st Round Pick,$10266120
207,Kris Dunn\dunnkr01,MEM,$111457,,,,,,,$5005350
208,Josh Jackson\jacksjo02,DET,$5005350,,,,,,Room Exception,$5005350
209,JaVale McGee\mcgeeja01,PHO,$5000000,,,,,,MLE,$5000000
210,Robin Lopez\lopezro01,ORL,$5000000,,,,,,MLE,$5000000
211,Kendrick Nunn\nunnke01,LAL,$5000000,$5250000,,,,,Mini MLE,$5000000
212,Lou Williams\willilo02,ATL,$5000000,,,,,,Bird,$5000000
213,Luol Deng\denglu01,LAL,$4990000,,,,,,,$4990000
214,Rui Hachimura\hachiru01,WAS,$4916160,$6263188,,,,,1st Round Pick,$11179348
215,Garrett Temple\templga01,NOP,$4910000,$5155500,$5401000,,,,Sign and Trade,$10065500
216,Cory Joseph\josepco01,DET,$7310000,$5155000,,,,,Room Exception,$7310000
217,Taj Gibson\gibsota01,NYK,$4910000,$5155500,,,,,Room Exception,$4910000
218,Torrey Craig\craigto01,PHO,$4878049,$5121951,,,,,MLE,$10000000
219,Rajon Rondo\rondora01,MEM,$2641691,,,,,,,$4858309
220,Bruce Brown\brownbr01,BRK,$4736102,,,,,,,$4736102
221,Deni Avdija\avdijde01,WAS,$4692840,$4916160,$6263188,,,,1st Round Pick,$9609000
222,Donte DiVincenzo\divindo01,SAC,$4675830,,,,,,1st Round Pick,$4675830
223,Cam Reddish\reddica01,NYK,$4670160,$5954454,,,,,1st Round Pick,$10624614
224,David Nwaba\nwabada01,HOU,$4650000,$5022000,$5394000,,,,Early Bird,$9672000
225,Furkan Korkmaz\korkmfu01,PHI,$4629630,$5000000,$5370370,,,,Bird,$15000000
226,Davion Mitchell\mitchda01,SAC,$4603320,$4833600,$5063760,$6451230,,,1st Round Pick,$9436920
227,Ish Smith\smithis01,WAS,$4500000,$4725000,,,,,Room Exception,$4500000
228,Jeff Green\greenje02,DEN,$4500000,$4500000,,,,,MLE,$4500000
229,Jalen Smith\smithja04,IND,$4458000,$4670160,$5954454,,,,1st Round Pick,$4458000
230,Lonnie Walker IV\walkelo01,SAS,$4447896,,,,,,1st Round Pick,$4447896
231,Cameron Johnson\johnsca02,PHO,$4437000,$5887899,,,,,1st Round Pick,$10324899
232,Ziaire Williams\willizi02,MEM,$4373160,$4591920,$4810200,$6133005,,,1st Round Pick,$8965080
233,Maurice Harkless\harklma01,SAC,$4347600,$4564980,,,,,Non Bird,$8912580
234,Bobby Portis\portibo01,MIL,$4347600,$4564980,,,,,Non Bird,$4347600
235,Jarred Vanderbilt\vandeja01,MIN,$4259259,$4600000,$4940741,,,,Bird,$13800000
236,Kevin Huerter\huertke01,ATL,$4253357,$14508929,$15669643,$16830357,$17991071,,1st Round Pick,$69253357
237,Devin Vassell\vassede01,SAS,$4235160,$4437000,$5887899,,,,1st Round Pick,$8672160
238,P.J. Washington\washipj01,CHO,$4215120,$5808435,,,,,1st Round Pick,$10023555
239,James Bouknight\bouknja01,CHO,$4154400,$4362240,$4570080,$6064496,,,1st Round Pick,$8516640
240,Josh Okogie\okogijo01,MIN,$4087904,,,,,,1st Round Pick,$4087904
241,Grayson Allen\allengr01,MIL,$4054695,$9615385,$10384615,,,,1st Round Pick,$24054695
242,Tyrese Haliburton\halibty01,IND,$4023600,$4215120,$5808435,,,,1st Round Pick,$8238720
243,Tyler Herro\herroty01,MIA,$4004280,$5722116,,,,,1st Round Pick,$9726396
244,Dorian Finney-Smith\finnedo01,DAL,$4000000,$12402000,$13394160,$14386320,$15378480,,Bird Rights,$44182480
245,Terence Davis\daviste02,SAC,$4000000,$4000000,,,,,Early Bird,$8000000
246,George Hill\hillge01,MIL,$4000000,$4000000,,,,,MLE,$8000000
247,Gorgui Dieng\dienggo01,ATL,$4000000,,,,,,MLE,$4000000
248,Aaron Holiday\holidaa01,PHO,$3980551,,,,,,1st Round Pick,$3980551
249,Joshua Primo\primojo01,SAS,$3946800,$4144320,$4341600,$5982725,,,1st Round Pick,$8091120
250,Jake Layman\laymaja01,MIN,$3940184,,,,,,Sign and Trade,$3940184
251,Anfernee Simons\simonan01,POR,$3938818,,,,,,1st Round Pick,$3938818
252,Justise Winslow\winslju01,POR,$3902439,$4097561,,,,,Mini MLE,$8000000
253,Kira Lewis Jr.\lewiski01,NOP,$3822240,$4004280,$5722116,,,,1st Round Pick,$7826520
254,Romeo Langford\langfro01,SAS,$3804360,$5634257,,,,,1st Round Pick,$9438617
255,Facundo Campazzo\campafa01,DEN,$3804150,,,,,,Bi-Annual Exception,$3804150
256,Landry Shamet\shamela01,PHO,$3768342,$9598214,$10366071,$11133929,$11901786,,1st Round Pick,$46768342
257,Chris Duarte\duartch01,IND,$3749520,$3936960,$4124280,$5893596,,,1st Round Pick,$7686480
258,Alex Len\lenal01,SAC,$3731707,$3918293,,,,,Bi-Annual Exception,$7650000
259,Robert Williams\williro04,BOS,$3661976,$10700000,$11556000,$12412000,$13268000,,1st Round Pick,$51597976
260,Jevon Carter\carteje01,BRK,$4107149,$3925000,,,,,,$7575000
261,Aaron Nesmith\nesmiaa01,BOS,$3631200,$3804360,$5634257,,,,1st Round Pick,$7435560
