Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
276,B.J. Johnson\johnsbj01,SF,26,ORL,4,0,16.3,2.8,6.3,.440,1.0,2.5,.400,1.8,3.8,.467,.520,0.0,0.0,,1.5,2.3,3.8,0.0,0.0,0.3,0.0,1.0,6.5
277,Cameron Johnson\johnsca02,PF,25,PHO,60,13,26.3,4.4,9.2,.475,2.7,5.9,.448,1.7,3.2,.526,.620,1.5,1.7,.873,0.6,3.5,4.1,1.5,0.8,0.2,0.6,1.7,12.8
278,David Johnson\johnsda08,SG,20,TOR,2,0,1.0,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
279,Jalen Johnson\johnsja05,PF,20,ATL,16,0,4.3,0.7,1.4,.500,0.2,0.5,.375,0.5,0.9,.571,.568,0.3,0.4,.667,0.0,1.1,1.1,0.1,0.0,0.1,0.3,0.2,1.8
280,James Johnson\johnsja01,PF,34,BRK,54,10,19.7,2.6,5.4,.474,0.4,1.5,.280,2.1,3.9,.550,.514,0.5,1.0,.528,0.9,2.6,3.5,2.2,0.5,0.5,0.8,2.6,6.1
281,Joe Johnson\johnsjo02,SG,40,BOS,1,0,2.0,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,1.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
282,Keldon Johnson\johnske04,SF,22,SAS,64,63,31.7,6.1,13.1,.468,2.0,4.9,.411,4.1,8.1,.502,.545,2.1,2.9,.745,1.1,5.0,6.1,1.9,0.7,0.1,1.2,1.9,16.4
283,Keon Johnson\johnske07,SG,19,TOT,24,2,14.1,1.8,5.3,.333,0.5,1.5,.351,1.2,3.7,.326,.385,1.1,1.4,.794,0.5,1.4,1.9,1.3,0.5,0.2,0.7,1.5,5.2
283,Keon Johnson\johnske07,SG,19,LAC,15,0,9.0,1.1,3.4,.333,0.2,0.7,.273,0.9,2.7,.350,.363,1.1,1.4,.762,0.4,1.0,1.4,0.9,0.5,0.1,0.5,1.4,3.5
283,Keon Johnson\johnske07,SG,19,POR,9,2,22.7,2.8,8.3,.333,1.1,2.9,.385,1.7,5.4,.306,.400,1.2,1.4,.846,0.7,2.1,2.8,2.1,0.7,0.3,1.0,1.8,7.9
284,Stanley Johnson\johnsst04,PF,25,LAL,35,20,21.1,2.2,4.7,.473,0.7,2.0,.329,1.6,2.7,.579,.542,0.8,1.2,.707,0.7,2.4,3.0,1.4,0.8,0.4,0.6,2.4,5.9
285,Tyler Johnson\johnsty01,PG,29,TOT,6,0,15.2,1.0,3.3,.300,0.8,2.2,.385,0.2,1.2,.143,.425,0.0,0.0,,0.5,1.5,2.0,1.2,0.5,0.5,0.3,1.2,2.8
285,Tyler Johnson\johnsty01,PG,29,PHI,3,0,12.7,1.3,3.3,.400,1.0,2.3,.429,0.3,1.0,.333,.550,0.0,0.0,,0.3,1.7,2.0,0.7,0.3,0.3,0.3,1.3,3.7
285,Tyler Johnson\johnsty01,PG,29,SAS,3,0,17.7,0.7,3.3,.200,0.7,2.0,.333,0.0,1.3,.000,.300,0.0,0.0,,0.7,1.3,2.0,1.7,0.7,0.7,0.3,1.0,2.0
286,Nikola Jokić\jokicni01,C,26,DEN,63,63,33.0,9.9,17.2,.574,1.5,4.1,.354,8.4,13.1,.643,.616,4.8,6.0,.808,2.7,11.0,13.8,8.1,1.4,0.8,3.7,2.6,26.0
287,Carlik Jones\jonesca03,PG,24,TOT,5,0,4.6,0.2,1.8,.111,0.0,0.2,.000,0.2,1.6,.125,.111,0.4,0.4,1.000,0.2,0.4,0.6,1.0,0.2,0.0,0.6,0.0,0.8
287,Carlik Jones\jonesca03,PG,24,DAL,3,0,6.3,0.0,2.3,.000,0.0,0.3,.000,0.0,2.0,.000,.000,0.7,0.7,1.000,0.3,0.7,1.0,1.7,0.3,0.0,1.0,0.0,0.7
287,Carlik Jones\jonesca03,PG,24,DEN,2,0,2.0,0.5,1.0,.500,0.0,0.0,,0.5,1.0,.500,.500,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
288,Damian Jones\jonesda03,C,26,SAC,45,6,15.9,2.5,3.9,.631,0.1,0.4,.278,2.4,3.5,.671,.645,1.3,1.8,.720,1.3,2.6,3.9,1.1,0.4,0.7,1.0,2.2,6.4
289,Derrick Jones Jr.\jonesde02,PF,24,CHI,44,8,17.7,2.1,3.8,.551,0.4,1.1,.340,1.7,2.7,.633,.599,1.1,1.4,.787,1.2,2.2,3.4,0.5,0.5,0.7,0.5,2.2,5.6
290,Herbert Jones\joneshe01,PF,23,NOP,66,57,30.1,3.6,7.4,.487,0.7,2.0,.346,2.9,5.4,.539,.534,1.8,2.1,.853,1.3,2.6,3.9,2.2,1.5,0.8,1.3,3.2,9.7
291,Jemerrio Jones\jonesje01,SF,26,LAL,2,0,7.5,1.0,1.5,.667,0.0,0.0,,1.0,1.5,.667,.667,0.0,0.0,,1.0,0.5,1.5,0.0,0.5,0.0,0.0,1.0,2.0
292,Kai Jones\joneska01,C,21,CHO,19,0,3.1,0.4,0.7,.615,0.1,0.1,.500,0.4,0.6,.636,.654,0.2,0.4,.375,0.2,0.4,0.5,0.2,0.1,0.0,0.3,0.4,1.1
293,Mason Jones\jonesma05,SG,23,LAL,2,0,4.5,1.0,4.0,.250,0.0,1.0,.000,1.0,3.0,.333,.250,0.5,1.0,.500,0.5,0.5,1.0,0.0,0.5,0.0,0.5,0.5,2.5
294,Tre Jones\jonestr01,PG,22,SAS,57,6,15.0,2.1,4.3,.490,0.1,0.5,.103,2.1,3.8,.541,.496,0.8,1.1,.774,0.4,1.6,2.0,2.9,0.5,0.1,0.6,1.1,5.1
295,Tyus Jones\jonesty01,PG,25,MEM,63,15,20.3,3.3,7.3,.451,1.0,2.7,.365,2.3,4.6,.502,.519,0.7,0.8,.830,0.2,2.2,2.4,4.1,0.9,0.0,0.6,0.5,8.2
296,DeAndre Jordan\jordade01,C,33,TOT,37,19,12.8,1.8,2.8,.635,0.0,0.0,,1.8,2.8,.635,.635,0.5,0.9,.559,1.7,3.7,5.4,0.4,0.3,0.8,0.7,1.5,4.1
296,DeAndre Jordan\jordade01,C,33,LAL,32,19,12.8,1.9,2.8,.674,0.0,0.0,,1.9,2.8,.674,.674,0.4,0.8,.462,1.6,3.8,5.4,0.4,0.3,0.8,0.7,1.6,4.1
296,DeAndre Jordan\jordade01,C,33,PHI,5,0,12.8,1.2,3.0,.400,0.0,0.0,,1.2,3.0,.400,.400,1.4,1.6,.875,2.2,3.2,5.4,0.6,0.2,0.6,1.2,1.0,3.8
297,Cory Joseph\josepco01,PG,30,DET,58,32,24.7,2.8,6.1,.452,1.0,2.4,.413,1.8,3.7,.477,.532,1.5,1.7,.869,0.5,2.1,2.6,3.7,0.6,0.3,1.3,2.3,8.0
298,Georgios Kalaitzakis\kalaige01,SF,23,MIL,9,0,5.3,0.6,1.2,.455,0.2,0.4,.500,0.3,0.8,.429,.545,0.4,1.0,.444,0.4,0.4,0.9,0.0,0.1,0.1,0.4,0.9,1.8
299,Frank Kaminsky\kaminfr01,C,28,PHO,9,0,20.1,4.0,7.3,.545,0.6,1.7,.333,3.4,5.7,.608,.583,2.0,2.2,.900,1.2,3.3,4.6,1.4,0.9,0.8,0.6,1.6,10.6
300,Luke Kennard\kennalu01,SG,25,LAC,61,11,27.6,4.0,9.0,.447,2.7,6.0,.455,1.3,3.0,.432,.598,0.9,1.0,.889,0.3,3.1,3.4,2.1,0.6,0.1,0.9,1.5,11.7
301,Braxton Key\keybr01,SF,24,PHI,2,0,3.0,0.5,1.0,.500,0.0,0.5,.000,0.5,0.5,1.000,.500,0.0,0.0,,0.5,0.5,1.0,0.5,0.5,0.0,1.0,0.5,1.0
302,George King\kingge03,SF,28,DAL,4,0,4.8,0.0,1.3,.000,0.0,1.0,.000,0.0,0.3,.000,.000,0.3,0.5,.500,0.0,1.3,1.3,0.0,0.0,0.0,0.3,1.0,0.3
303,Louis King\kinglo02,SF,22,SAC,10,0,10.4,1.5,4.7,.319,0.8,2.7,.296,0.7,2.0,.350,.404,0.7,1.0,.700,0.0,1.2,1.2,0.9,0.2,0.1,0.0,1.4,4.5
304,Corey Kispert\kispeco01,SF,22,WAS,63,22,21.5,2.7,6.2,.445,1.3,3.7,.342,1.5,2.5,.600,.548,0.7,0.8,.837,0.7,1.9,2.7,1.0,0.3,0.3,0.6,1.2,7.4
305,Maxi Kleber\klebima01,PF,30,DAL,50,20,25.0,2.4,6.1,.403,1.5,4.3,.341,1.0,1.7,.558,.525,0.8,1.1,.719,1.2,4.7,5.9,1.2,0.5,1.1,0.7,2.3,7.2
306,Brandon Knight\knighbr03,PG,30,DAL,3,0,18.0,3.0,6.7,.450,1.3,4.3,.308,1.7,2.3,.714,.550,2.7,2.7,1.000,0.0,2.3,2.3,2.7,0.3,0.0,1.3,1.7,10.0
307,Nathan Knight\knighna01,PF,24,MIN,33,2,7.2,1.0,2.1,.485,0.1,0.2,.250,0.9,1.8,.517,.500,1.2,1.7,.727,0.8,1.4,2.2,0.5,0.2,0.2,0.5,1.1,3.3
308,Kevin Knox\knoxke01,SF,22,TOT,24,0,7.8,0.9,2.8,.333,0.5,1.7,.268,0.5,1.0,.440,.417,0.5,0.7,.688,0.5,1.0,1.6,0.4,0.1,0.0,0.3,0.5,2.8
308,Kevin Knox\knoxke01,SF,22,NYK,13,0,8.5,1.2,3.1,.375,0.8,2.2,.357,0.4,0.9,.417,.500,0.5,0.8,.700,0.6,1.1,1.7,0.2,0.2,0.1,0.4,0.4,3.6
308,Kevin Knox\knoxke01,SF,22,ATL,11,0,6.8,0.6,2.4,.269,0.1,1.2,.077,0.5,1.2,.462,.288,0.4,0.5,.667,0.5,1.0,1.5,0.5,0.1,0.0,0.2,0.6,1.7
309,John Konchar\konchjo01,SG,25,MEM,60,6,18.2,1.8,3.5,.500,0.7,1.8,.400,1.1,1.8,.598,.599,0.4,0.7,.590,1.2,3.4,4.5,1.4,0.6,0.3,0.4,1.3,4.6
310,Furkan Korkmaz\korkmfu01,SG,24,PHI,57,19,22.8,2.9,7.6,.389,1.2,4.3,.291,1.7,3.3,.516,.471,1.1,1.3,.816,0.3,2.5,2.9,2.1,0.5,0.1,0.8,0.9,8.2
311,Luke Kornet\kornelu01,C,26,TOT,7,0,5.0,0.1,1.3,.111,0.0,0.3,.000,0.1,1.0,.143,.111,0.3,0.4,.667,0.4,0.6,1.0,0.3,0.3,0.1,0.0,0.4,0.6
311,Luke Kornet\kornelu01,C,26,CLE,2,0,7.5,0.5,2.5,.200,0.0,0.5,.000,0.5,2.0,.250,.200,1.0,1.5,.667,1.0,0.5,1.5,0.5,0.0,0.5,0.0,0.5,2.0
311,Luke Kornet\kornelu01,C,26,MIL,1,0,3.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
311,Luke Kornet\kornelu01,C,26,BOS,4,0,4.3,0.0,0.8,.000,0.0,0.3,.000,0.0,0.5,.000,.000,0.0,0.0,,0.0,0.8,0.8,0.3,0.5,0.0,0.0,0.3,0.0
312,Vit Krejci\krejcvi01,SG,21,OKC,17,0,15.8,1.5,3.5,.433,0.9,2.3,.385,0.6,1.2,.524,.558,0.4,0.4,1.000,0.5,1.6,2.1,0.9,0.4,0.1,0.7,1.6,4.4
313,Arnoldas Kulboka\kulboar01,SF,24,CHO,1,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
314,Jonathan Kuminga\kuminjo01,SF,19,GSW,58,8,16.4,3.3,6.4,.509,0.7,2.2,.333,2.5,4.2,.602,.567,1.8,2.5,.699,0.7,2.5,3.2,0.8,0.4,0.3,1.1,2.0,9.1
315,Kyle Kuzma\kuzmaky01,PF,26,WAS,65,65,33.4,6.4,14.1,.454,1.9,5.6,.339,4.5,8.5,.530,.521,2.4,3.3,.716,1.1,7.5,8.6,3.4,0.6,0.9,2.5,1.9,17.1
316,Anthony Lamb\lamban01,SF,24,SAS,2,0,4.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0
